mensaje,categoria
"Me dieron informacion incorrecta sobre mi compra","reclamo"
"Estoy insatisfecho con la demora y la falta de respuesta","reclamo"
"El repartidor entrego en otra direccion","reclamo"
"El material llego defectuoso","reclamo"
"Mi pedido tiene una falla y necesito que lo revisen","reclamo"
"No recibo solucion para mi reclamo anterior","reclamo"
"Quiero reportar que mi producto vino incompleto","reclamo"
"Me confirmaron una talla y enviaron otra","reclamo"
"El pedido llego mal embalado y dañado","reclamo"
"La compra no corresponde a lo que me ofrecieron","reclamo"
"Estoy molesto porque no cumplen con los plazos","reclamo"
"Necesito hablar con alguien por un problema serio","reclamo"
"El producto vino con pegamento visible y mal acabado","reclamo"
"Quiero cambiar las zapatillas por otra talla","cambio_devolucion"
"Necesito devolver el producto porque me quedo grande","cambio_devolucion"
"Como puedo hacer un cambio de talla?","cambio_devolucion"
"Deseo cambiar el modelo que compre ayer","cambio_devolucion"
"El zapato me quedo pequeño, puedo cambiarlo?","cambio_devolucion"
"Quiero solicitar una devolucion de mi compra","cambio_devolucion"
"Me gustaria cambiar el color del producto","cambio_devolucion"
"Cual es el proceso para devolver unas zapatillas?","cambio_devolucion"
"Compre una talla 39 y necesito cambiarla por 40","cambio_devolucion"
"Puedo devolver el pedido si no me quedo bien?","cambio_devolucion"
"Necesito hacer un cambio por un modelo diferente","cambio_devolucion"
"Quiero cambiar unas sandalias por otro numero","cambio_devolucion"
"Me equivoque de talla y quiero cambiar el producto","cambio_devolucion"
"Aceptan devoluciones por compras online?","cambio_devolucion"
"Deseo devolver las botas porque no eran lo que esperaba","cambio_devolucion"
"Como gestiono un cambio de producto?","cambio_devolucion"
"Quiero cambiar mi pedido antes de que lo envien","cambio_devolucion"
"Puedo cambiar el producto en tienda fisica?","cambio_devolucion"
"Necesito informacion sobre cambios y devoluciones","cambio_devolucion"
"El producto no me quedo y quiero devolverlo","cambio_devolucion"
"Puedo cambiarlo por otra talla disponible?","cambio_devolucion"
"Quiero hacer una devolucion parcial de mi compra","cambio_devolucion"
"Me pueden indicar los pasos para cambiar mi pedido?","cambio_devolucion"
"Compre para regalo y necesito cambiar la talla","cambio_devolucion"
"Deseo cambiar el par por uno de color negro","cambio_devolucion"
"Cuantos dias tengo para devolver el producto?","cambio_devolucion"
"Quiero cambiar el calzado porque me ajusta mucho","cambio_devolucion"
"Puedo solicitar devolucion si aun no lo use?","cambio_devolucion"
"Necesito cambiar de talla por favor","cambio_devolucion"
"El modelo no me convencio y quiero cambiarlo","cambio_devolucion"
"Como hago para devolver una compra hecha por WhatsApp?","cambio_devolucion"
"Deseo cambiar mi compra por otra referencia","cambio_devolucion"
"Puedo devolver el producto y recibir reembolso?","cambio_devolucion"
"Me queda suelto y quiero cambiarlo por una talla menos","cambio_devolucion"
"Quiero coordinar un cambio para hoy","cambio_devolucion"
"Aceptan cambio si tengo la boleta?","cambio_devolucion"
"Necesito devolver el pedido completo","cambio_devolucion"
"Puedo cambiar una compra en promocion?","cambio_devolucion"
"Quiero cambiar un producto que recibi hoy","cambio_devolucion"
"Me enviaron la talla correcta, pero quiero otra mas comoda","cambio_devolucion"
"Deseo saber si el cambio tiene costo adicional","cambio_devolucion"
"Puedo hacer el cambio por delivery?","cambio_devolucion"
"Quiero devolver porque el producto no era para mi","cambio_devolucion"
"Como solicito reembolso por devolucion?","cambio_devolucion"
"Necesito cambiar unas botas por zapatillas","cambio_devolucion"
"Puedo devolverlo si esta en su caja original?","cambio_devolucion"
"Quiero modificar mi compra por otra talla","cambio_devolucion"
"Deseo cambiar el producto antes de retirarlo","cambio_devolucion"
"Me pueden ayudar con una devolucion?","cambio_devolucion"
"Quiero cambiar una talla 37 por 38","cambio_devolucion"
"Mi pedido aun no llega, cuando lo envian?","pedido_pendiente"
"Quiero saber el estado de mi pedido","pedido_pendiente"
"Mi compra aparece pendiente desde ayer","pedido_pendiente"
"Ya pague y necesito saber cuando despachan","pedido_pendiente"
"Tienen informacion del envio de mi pedido?","pedido_pendiente"
"Mi pedido esta demorando demasiado","pedido_pendiente"
"Cuando llega mi compra a domicilio?","pedido_pendiente"
"Me pueden pasar el codigo de seguimiento?","pedido_pendiente"
"Quisiera confirmar si mi pedido ya fue enviado","pedido_pendiente"
"Hice una compra y no recibo actualizacion","pedido_pendiente"
"Mi pedido sigue en preparacion?","pedido_pendiente"
"Necesito saber si ya salio mi envio","pedido_pendiente"
"Cuando entregan el pedido que hice el lunes?","pedido_pendiente"
"Mi compra no llega y necesito una fecha estimada","pedido_pendiente"
"El pedido figura pendiente, que significa?","pedido_pendiente"
"Me confirman el avance de mi envio?","pedido_pendiente"
"Ya realizaron el despacho de mi producto?","pedido_pendiente"
"Sigo esperando mi pedido desde la semana pasada","pedido_pendiente"
"Quiero saber si mi pedido esta en ruta","pedido_pendiente"
"Necesito seguimiento de mi compra online","pedido_pendiente"
"Mi pedido fue confirmado, pero no tengo noticias","pedido_pendiente"
"Cuando puedo retirar mi pedido en tienda?","pedido_pendiente"
"Me dijeron que llegaba hoy y aun no llega","pedido_pendiente"
"Quiero consultar por un pedido pendiente","pedido_pendiente"
"Mi compra esta retrasada?","pedido_pendiente"
"Hay algun problema con el envio de mi pedido?","pedido_pendiente"
"Pueden revisar el estado del pedido numero 1050?","pedido_pendiente"
"Mi pedido no cambia de estado en la pagina","pedido_pendiente"
"Necesito saber si enviaron mi compra a provincia","pedido_pendiente"
"Cuanto falta para que llegue mi pedido?","pedido_pendiente"
"Pague ayer, cuando hacen el envio?","pedido_pendiente"
"El pedido esta listo para despacho?","pedido_pendiente"
"Aun no recibo confirmacion de entrega","pedido_pendiente"
"Me pueden indicar la fecha de entrega?","pedido_pendiente"
"Estoy esperando el envio de mis zapatillas","pedido_pendiente"
"Mi pedido fue registrado pero no enviado","pedido_pendiente"
"Cuando sale mi compra de almacen?","pedido_pendiente"
"Quiero confirmar si mi pedido llega hoy","pedido_pendiente"
"No tengo noticias del delivery de mi compra","pedido_pendiente"
"Me pueden ayudar a rastrear mi pedido?","pedido_pendiente"
"El pedido esta pendiente de pago o de envio?","pedido_pendiente"
"Ya mande el comprobante, falta confirmar el pedido","pedido_pendiente"
"Quiero saber si mi compra ya esta lista","pedido_pendiente"
"Mi pedido tiene demora en la entrega","pedido_pendiente"
"Cuando actualizan el seguimiento de mi envio?","pedido_pendiente"
"Necesito ubicar mi paquete","pedido_pendiente"
"Mi pedido sigue sin llegar a mi direccion","pedido_pendiente"
"Quiero saber si ya entregaron mi compra al courier","pedido_pendiente"
"Me indican si mi pedido se despacho correctamente?","pedido_pendiente"
"Aun espero respuesta sobre el estado de mi pedido","pedido_pendiente"
"Cual es el horario de atencion?","consulta_general"
"Donde estan ubicados?","consulta_general"
"Tienen tienda fisica?","consulta_general"
"Atienden los domingos?","consulta_general"
"Cual es su numero de WhatsApp?","consulta_general"
"Como puedo comunicarme con ventas?","consulta_general"
"Tienen catalogo disponible?","consulta_general"
"Puedo visitar la tienda hoy?","consulta_general"
"Cuales son sus redes sociales?","consulta_general"
"En que distrito se encuentran?","consulta_general"
"Atienden feriados?","consulta_general"
"Cual es el horario de recojo en tienda?","consulta_general"
"Necesito informacion general de la tienda","consulta_general"
"Tienen pagina web?","consulta_general"
"Como puedo hacer una consulta con un asesor?","consulta_general"
"Me pueden enviar el catalogo completo?","consulta_general"
"Cual es la direccion exacta?","consulta_general"
"Atienden por llamada telefonica?","consulta_general"
"Puedo hacer compras por Instagram?","consulta_general"
"Tienen atencion presencial?","consulta_general"
"Cuales son los medios de contacto?","consulta_general"
"Quiero saber mas sobre la tienda","consulta_general"
"Donde puedo ver sus productos?","consulta_general"
"Cual es el horario de cierre?","consulta_general"
"A que hora abren la tienda?","consulta_general"
"Tienen estacionamiento cerca?","consulta_general"
"Me pueden dar informacion de sus sedes?","consulta_general"
"Cual es el nombre de la tienda?","consulta_general"
"Como hago para hablar con atencion al cliente?","consulta_general"
"Tienen asesoria para elegir talla?","consulta_general"
"Puedo reservar un producto?","consulta_general"
"Cuentan con boleta o factura?","consulta_general"
"Atienden por correo electronico?","consulta_general"
"Cual es el tiempo promedio de respuesta?","consulta_general"
"Me pueden explicar como comprar?","consulta_general"
"Tienen politicas de compra publicadas?","consulta_general"
"Como funciona la compra por mensaje?","consulta_general"
"Puedo separar un producto y pagar despues?","consulta_general"
"Tienen promociones activas esta semana?","consulta_general"
"Aceptan pagos por Yape o tarjeta?","consulta_general"
"Hacen envios a provincia?","consulta_general"
"Cuanto cuesta el delivery?","consulta_general"
"Tienen atencion por mayor?","consulta_general"
"Venden para empresas?","consulta_general"
"Puedo pedir recomendaciones de modelos?","consulta_general"
"Tienen guia de tallas?","consulta_general"
"Como encuentro la tienda en Google Maps?","consulta_general"
"Me comparten la ubicacion por favor?","consulta_general"
"Hay algun canal oficial para consultas?","consulta_general"
"Quiero informacion sobre sus servicios","consulta_general"
